"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex","dataType"
"syn40419122","1629793558130-recording-1.wav","1","audio/x-wav","36226","3428786","1666076638722","3428786","1666076639499","syn40390832","https://www.synapse.org/#!Synapse:syn40419122.1","d465c19e02e49be8be5e27ae8c9d86fa","wav"
"syn40419493","1628858989087-recording-1.wav","1","audio/x-wav","36226","3428786","1666076780255","3428786","1666076780974","syn40390832","https://www.synapse.org/#!Synapse:syn40419493.1","008cf008f5862c2c940c926bd243a4f7","wav"
"syn40408586","1628331158093-recording-1.wav","1","audio/x-wav","36226","3428786","1666072659059","3428786","1666072659765","syn40390832","https://www.synapse.org/#!Synapse:syn40408586.1","4eec73361e6cb861d5f4d02c6d1fe299","wav"
"syn40409616","1628503698788-recording-1.wav","1","audio/x-wav","36226","3428786","1666073047991","3428786","1666073048787","syn40390832","https://www.synapse.org/#!Synapse:syn40409616.1","9498113b3f690504cfae91f4b8fe63c8","wav"
"syn40410021","1628553103856-recording-1.wav","1","audio/x-wav","36226","3428786","1666073200558","3428786","1666073201367","syn40390832","https://www.synapse.org/#!Synapse:syn40410021.1","9fe820c53f2a7ff5a16d9e83c5adb320","wav"
"syn40400193","1627558975521-recording-1.wav","1","audio/x-wav","36226","3428786","1666069322048","3428786","1666069322664","syn40390832","https://www.synapse.org/#!Synapse:syn40400193.1","21dee61f176b13cef81dd7b3962583cd","wav"
"syn40400441","1627602306176-recording-1.wav","1","audio/x-wav","36226","3428786","1666069441786","3428786","1666069442556","syn40390832","https://www.synapse.org/#!Synapse:syn40400441.1","cab5cbfc7de84a2bbf8d978f613b32c1","wav"
"syn40403219","1627696104338-recording-1.wav","1","audio/x-wav","36226","3428786","1666070624639","3428786","1666070625279","syn40390832","https://www.synapse.org/#!Synapse:syn40403219.1","32167ad81d9f0bc5fb1cb285779fd660","wav"
"syn40394338","1625710427281-recording-1.wav","1","audio/x-wav","36226","3428786","1666066025246","3428786","1666066025788","syn40390832","https://www.synapse.org/#!Synapse:syn40394338.1","46bad0ecac8389a550a460a6be89d70d","wav"
"syn40397507","1626541254063-recording-1.wav","1","audio/x-wav","36226","3428786","1666067990319","3428786","1666067990925","syn40390832","https://www.synapse.org/#!Synapse:syn40397507.1","46859c15d3f8341c83ce1f4e5db9884f","wav"
"syn40406908","1628148421636-recording-1.wav","1","audio/x-wav","36226","3428786","1666072025074","3428786","1666072025784","syn40390832","https://www.synapse.org/#!Synapse:syn40406908.1","f4bca11d70a676fc2e25780e24aed506","wav"
"syn40394690","1626210086726-recording-1.wav","1","audio/x-wav","36226","3428786","1666066293895","3428786","1666066294357","syn40390832","https://www.synapse.org/#!Synapse:syn40394690.1","642f978f6ab6182cc36f71ba0b417df2","wav"
"syn40394751","1626233120238-recording-1.wav","1","audio/x-wav","36226","3428786","1666066338982","3428786","1666066339445","syn40390832","https://www.synapse.org/#!Synapse:syn40394751.1","286de0007f647084ff47e02e71a985b9","wav"
"syn40395361","1626663051810-recording-1.wav","1","audio/x-wav","36226","3428786","1666066807704","3428786","1666066807877","syn40390832","https://www.synapse.org/#!Synapse:syn40395361.1","2bccf3da897565d3c82cf1002727c474","wav"
"syn40396213","1627034299397-recording-1.wav","1","audio/x-wav","36226","3428786","1666067339152","3428786","1666067339848","syn40390832","https://www.synapse.org/#!Synapse:syn40396213.1","8768f7c79d8da99c4f5c396afce60f9c","wav"
"syn40398310","1627304047208-recording-1.wav","1","audio/x-wav","36942","3428786","1666068396006","3428786","1666068396828","syn40390832","https://www.synapse.org/#!Synapse:syn40398310.1","620acc33fb75b536442bbe2a59b1fe38","wav"
"syn40399491","1627481816252-recording-1.wav","1","audio/x-wav","39754","3428786","1666068982362","3428786","1666068982903","syn40390832","https://www.synapse.org/#!Synapse:syn40399491.1","41a58ffa848bb33d010bb28b3b30b924","wav"
